timestamp,open,high,low,close,volume
1758253680,6700.5,6700.5,6695.75,6698.75,707
1758253860,6698.75,6699.75,6698.25,6698.5,194
1758254040,6698.5,6698.75,6696.5,6696.75,283
1758254220,6696.5,6697.75,6696.25,6697.5,151
1758254400,6697.75,6698,6695,6695.25,350
1758254580,6695,6695.25,6692.25,6694.5,632
1758254760,6694.5,6696,6694,6694.25,303
1758254940,6694.5,6695.5,6693.5,6694,451
1758255120,6693.75,6694,6691.75,6692,474
1758255300,6692,6693.5,6691.25,6693.25,320
1758255480,6692.75,6693,6691,6691.25,332
1758255660,6691.25,6692.5,6690.5,6692,223
1758255840,6691.75,6694.5,6691.25,6694.5,361
1758256020,6694.5,6695.5,6694.25,6695.5,309
1758256200,6695.25,6695.5,6694.75,6695,229
1758256380,6695,6696,6694.75,6695.25,209
1758256560,6695.5,6696.75,6695.5,6696.25,197
1758256740,6696.5,6697,6696.25,6696.5,184
1758256920,6696.75,6696.75,6695.5,6695.75,125
1758257100,6695.75,6696.75,6695.75,6696.25,94
1758257280,6696,6697.5,6696,6697.25,128
1758257460,6697.25,6697.25,6696.75,6697.25,131
1758257640,6697.25,6699,6697,6698.5,175
1758257820,6698.75,6699.25,6698.5,6698.75,140
1758258000,6698.75,6699.5,6698.5,6698.75,174
1758258180,6698.5,6698.5,6697.75,6698,131
1758258360,6698.25,6698.5,6698,6698,156
1758258540,6698,6698.25,6697.25,6697.25,168
1758258720,6697.25,6697.75,6696.25,6697,248
1758258900,6697,6697,6696,6696.25,170
1758259080,6696,6697.25,6696,6697.25,189
1758259260,6697.25,6697.75,6697.25,6697.25,194
1758259440,6697.25,6698,6697,6697.5,254
1758259620,6697.5,6697.5,6695,6695.25,276
1758259800,6695,6695.25,6693.25,6694.25,820
1758259980,6694.5,6694.75,6692.75,6692.75,311
1758260160,6693,6694.75,6693,6694.75,179
1758260340,6695,6695.5,6693.5,6693.5,304
1758260520,6693.5,6693.5,6691.5,6691.75,414
1758260700,6691.75,6692.5,6691,6691.5,320
1758260880,6691.5,6692,6690.75,6691.25,362
1758261060,6691.25,6693,6691.25,6692.5,432
1758261240,6692.5,6693.25,6692.5,6693.25,243
1758261420,6693.5,6693.75,6692.5,6692.75,228
1758261600,6693,6693.25,6691.75,6692.25,408
1758261780,6692.25,6694.75,6692.25,6694.25,333
1758261960,6694.25,6694.75,6693.5,6693.75,278
1758262140,6693.75,6694.75,6693.5,6694.25,407
1758262320,6694.25,6694.75,6693.25,6693.25,217
1758262500,6693.25,6694.25,6691.5,6692,527
1758262680,6691.75,6693.5,6691.5,6692.75,305
1758262860,6693,6693,6685.25,6687.75,2071
